Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
4.1992187500000e-002	       0.1967637	       0.1025194
4.2480468750000e-002	       0.1856986	      0.09854279
4.2968750000000e-002	       0.1728373	       0.1186464
4.3457031250000e-002	       0.1614105	       0.1362287
4.3945312500000e-002	       0.1505611	       0.1324342
4.4433593750000e-002	       0.1383278	       0.1478102
4.4921875000000e-002	       0.1278908	       0.1611927
4.5410156250000e-002	       0.1120037	       0.1479184
4.5898437500000e-002	      0.09454513	       0.1717422
4.6386718750000e-002	      0.07800917	       0.1481844
4.6875000000000e-002	      0.06104882	       0.1517573
4.7363281250000e-002	      0.04360347	       0.1649114
4.7851562500000e-002	      0.02525238	        0.164746
4.8339843750000e-002	     0.007884104	       0.1813985
4.8828125000000e-002	     -0.01031931	       0.1659447
4.9316406250000e-002	      -0.0292898	       0.1808812
4.9804687500000e-002	     -0.04856901	       0.1893836
5.0292968750000e-002	     -0.06765513	       0.1837806
5.0781250000000e-002	     -0.08577496	       0.1863441
5.1269531250000e-002	      -0.1045807	       0.1780435
5.1757812500000e-002	      -0.1232023	       0.1997524
5.2246093750000e-002	      -0.1416018	       0.1730477
5.2734375000000e-002	      -0.1589634	       0.1866094
5.3222656250000e-002	      -0.1758388	       0.2168076
5.3710937500000e-002	      -0.1947184	       0.2210713
5.4199218750000e-002	      -0.2122901	       0.2099496
5.4687500000000e-002	      -0.2310048	       0.2061765
5.5175781250000e-002	      -0.2464392	       0.2180609
5.5664062500000e-002	      -0.2598891	       0.2107843
5.6152343750000e-002	      -0.2745429	       0.2265468
5.6640625000000e-002	      -0.2864011	        0.220186
5.7128906250000e-002	      -0.2972123	       0.2385944
5.7617187500000e-002	      -0.3084855	       0.2168694
5.8105468750000e-002	      -0.3174911	       0.2145617
5.8593750000000e-002	      -0.3242303	       0.2331814
5.9082031250000e-002	      -0.3303933	       0.2374624
5.9570312500000e-002	      -0.3341827	       0.2253698
6.0058593750000e-002	      -0.3357214	       0.2256347
6.0546875000000e-002	      -0.3348484	        0.241646
6.1035156250000e-002	      -0.3297203	       0.2333858
6.1523437500000e-002	      -0.3222856	       0.2483285
6.2011718750000e-002	      -0.3113004	       0.2356386
6.2500000000000e-002	      -0.2984565	       0.2107888
6.2988281250000e-002	      -0.2874542	       0.2168318
6.3476562500000e-002	      -0.2725523	        0.210463
6.3964843750000e-002	      -0.2576826	       0.1950741
6.4453125000000e-002	      -0.2432473	       0.2065487
6.4941406250000e-002	      -0.2286402	       0.2121951
6.5429687500000e-002	      -0.2203289	        0.212136
6.5917968750000e-002	      -0.2110249	       0.2193225
6.6406250000000e-002	      -0.2021813	       0.2130427
6.6894531250000e-002	       -0.191859	       0.2098754
6.7382812500000e-002	      -0.1816638	       0.2204713
6.7871093750000e-002	       -0.171694	       0.2110435
6.8359375000000e-002	      -0.1606439	       0.1976777
6.8847656250000e-002	       -0.148692	       0.1827273
6.9335937500000e-002	      -0.1357926	       0.1991425
6.9824218750000e-002	      -0.1223479	       0.1750724
7.0312500000000e-002	      -0.1066279	       0.1699285
7.0800781250000e-002	     -0.09049328	       0.1794532
7.1289062500000e-002	     -0.07384565	       0.1650214
7.1777343750000e-002	     -0.05641365	       0.1630144
7.2265625000000e-002	     -0.03899091	       0.1606966
7.2753906250000e-002	     -0.01993822	       0.1627863
7.3242187500000e-002	     -0.00223768	        0.148306
7.3730468750000e-002	      0.01537541	       0.1476058
7.4218750000000e-002	      0.03405571	       0.1471443
7.4707031250000e-002	      0.05112865	         0.14684
7.5195312500000e-002	       0.0705661	       0.1252026
7.5683593750000e-002	      0.09215241	       0.1534454
7.6171875000000e-002	       0.1115908	       0.1313999
7.6660156250000e-002	       0.1309588	       0.1227365
7.7148437500000e-002	       0.1496476	       0.1283571
7.7636718750000e-002	        0.169126	       0.1138496
7.8125000000000e-002	       0.1876048	       0.1000675
7.8613281250000e-002	       0.2060014	      0.09763466
7.9101562500000e-002	       0.2243171	       0.1015701
7.9589843750000e-002	       0.2413984	       0.1045273
8.0078125000000e-002	       0.2574892	      0.09333641
8.0566406250000e-002	       0.2725074	      0.09645133
8.1054687500000e-002	       0.2870444	      0.08784207
8.1542968750000e-002	       0.3006875	      0.08829069
8.2031250000000e-002	       0.3131113	       0.1114178
8.2519531250000e-002	       0.3233731	      0.09092597
8.3007812500000e-002	       0.3298931	       0.0823328
8.3496093750000e-002	       0.3379278	      0.07998345
8.3984375000000e-002	       0.3440703	      0.07936372
8.4472656250000e-002	       0.3498852	      0.09353102
8.4960937500000e-002	       0.3533093	      0.06622768
8.5449218750000e-002	       0.3500296	      0.08039798
8.5937500000000e-002	       0.3455002	      0.09613508
8.6425781250000e-002	        0.337079	      0.07693084
8.6914062500000e-002	       0.3259799	      0.09248951
8.7402343750000e-002	       0.3126677	       0.1049219
8.7890625000000e-002	       0.2978309	      0.08654699
8.8378906250000e-002	       0.2844484	      0.09654797
8.8867187500000e-002	       0.2718674	      0.08300419
8.9355468750000e-002	       0.2606495	      0.07836007
