Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
6.0156250000000e-001	      0.01826271
6.0546875000000e-001	     -0.01767809
6.0937500000000e-001	     -0.03697402
6.1328125000000e-001	     -0.03805993
6.1718750000000e-001	       0.0402159
6.2109375000000e-001	       0.1264318
6.2500000000000e-001	       0.2274519
6.2890625000000e-001	       0.3686693
6.3281250000000e-001	       0.4843834
6.3671875000000e-001	       0.5611785
6.4062500000000e-001	       0.5803213
6.4453125000000e-001	       0.5229489
6.4843750000000e-001	       0.3639532
6.5234375000000e-001	       0.1471682
6.5625000000000e-001	      -0.1052719
6.6015625000000e-001	      -0.3460269
6.6406250000000e-001	      -0.5317073
6.6796875000000e-001	      -0.6490871
6.7187500000000e-001	      -0.6709951
6.7578125000000e-001	      -0.5718242
6.7968750000000e-001	      -0.3975991
6.8359375000000e-001	      -0.1568985
6.8750000000000e-001	       0.1039878
6.9140625000000e-001	       0.3504352
6.9531250000000e-001	       0.5437076
6.9921875000000e-001	       0.6492433
7.0312500000000e-001	       0.6585954
7.0703125000000e-001	       0.5881341
7.1093750000000e-001	       0.4415926
7.1484375000000e-001	       0.2553846
7.1875000000000e-001	      0.06560382
7.2265625000000e-001	     -0.09133624
7.2656250000000e-001	      -0.1833204
7.3046875000000e-001	      -0.2151312
7.3437500000000e-001	      -0.1746968
7.3828125000000e-001	     -0.08208697
7.4218750000000e-001	      0.06487405
7.4609375000000e-001	       0.2338402
7.5000000000000e-001	       0.3830644
7.5390625000000e-001	       0.4832154
7.5781250000000e-001	       0.4896413
7.6171875000000e-001	       0.4148243
7.6562500000000e-001	       0.2891434
7.6953125000000e-001	       0.1138557
7.7343750000000e-001	     -0.06660316
7.7734375000000e-001	      -0.2617998
7.8125000000000e-001	      -0.3984843
7.8515625000000e-001	      -0.4497664
7.8906250000000e-001	      -0.4255444
7.9296875000000e-001	      -0.3315285
7.9687500000000e-001	      -0.2114638
8.0078125000000e-001	     -0.08360394
8.0468750000000e-001	      0.02303801
8.0859375000000e-001	       0.1207991
8.1250000000000e-001	       0.2365768
8.1640625000000e-001	       0.3427823
8.2031250000000e-001	       0.4426355
8.2421875000000e-001	       0.4842651
8.2812500000000e-001	       0.4594925
8.3203125000000e-001	       0.3898544
8.3593750000000e-001	       0.2913103
8.3984375000000e-001	       0.2041259
8.4375000000000e-001	       0.1446861
8.4765625000000e-001	      0.07973348
8.5156250000000e-001	      0.02604471
8.5546875000000e-001	    -0.008284227
8.5937500000000e-001	     -0.04014489
8.6328125000000e-001	     -0.03301466
8.6718750000000e-001	     -0.01240575
8.7109375000000e-001	      0.03283185
8.7500000000000e-001	      0.09262408
8.7890625000000e-001	       0.1581712
8.8281250000000e-001	        0.207782
8.8671875000000e-001	       0.1979598
8.9062500000000e-001	       0.1419359
8.9453125000000e-001	      0.02890263
8.9843750000000e-001	       -0.117094
9.0234375000000e-001	      -0.2352994
9.0625000000000e-001	      -0.3459319
9.1015625000000e-001	      -0.3845076
9.1406250000000e-001	      -0.3347705
9.1796875000000e-001	      -0.2245367
9.2187500000000e-001	     -0.04078402
9.2578125000000e-001	       0.1795908
9.2968750000000e-001	       0.3943496
9.3359375000000e-001	       0.5780815
9.3750000000000e-001	       0.7181055
9.4140625000000e-001	       0.7479043
9.4531250000000e-001	        0.695079
9.4921875000000e-001	        0.511756
9.5312500000000e-001	       0.1722713
9.5703125000000e-001	      -0.3192938
9.6093750000000e-001	      -0.6943384
9.6484375000000e-001	      -0.7626975
9.6875000000000e-001	       -0.558649
9.7265625000000e-001	      -0.3716687
9.7656250000000e-001	      -0.3142381
9.8046875000000e-001	      -0.4001735
9.8437500000000e-001	      -0.6475333
9.8828125000000e-001	       -1.263428
9.9218750000000e-001	       -1.853966
9.9609375000000e-001	       -2.361493
1.0000000000000e+000	       -2.559771
1.0039062500000e+000	       -3.227231
1.0078125000000e+000	        -3.24732
1.0117187500000e+000	       -4.069551
1.0156250000000e+000	       -4.320318
1.0195312500000e+000	       -1.334589
1.0234375000000e+000	       0.5619135
1.0273437500000e+000	        4.732566
1.0312500000000e+000	         7.56112
1.0351562500000e+000	        9.934274
1.0390625000000e+000	        11.44543
1.0429687500000e+000	        11.05069
1.0468750000000e+000	        9.397361
1.0507812500000e+000	        7.168653
1.0546875000000e+000	        3.598315
1.0585937500000e+000	      -0.4611592
1.0625000000000e+000	        -3.55555
1.0664062500000e+000	       -7.482022
1.0703125000000e+000	       -9.363537
1.0742187500000e+000	       -10.87361
1.0781250000000e+000	       -11.00555
1.0820312500000e+000	       -9.806866
1.0859375000000e+000	       -7.204164
1.0898437500000e+000	        -3.64895
1.0937500000000e+000	      -0.1014384
1.0976562500000e+000	        3.832928
1.1015625000000e+000	        6.613569
1.1054687500000e+000	        9.795091
1.1093750000000e+000	        10.86148
1.1132812500000e+000	        10.86624
1.1171875000000e+000	        9.832706
1.1210937500000e+000	         7.64652
1.1250000000000e+000	         3.91609
1.1289062500000e+000	       0.5503402
1.1328125000000e+000	       -3.075384
1.1367187500000e+000	       -6.596041
1.1406250000000e+000	        -8.75359
1.1445312500000e+000	       -10.51322
1.1484375000000e+000	       -10.46904
1.1523437500000e+000	        -9.68233
1.1562500000000e+000	        -7.36351
1.1601562500000e+000	       -4.065623
1.1640625000000e+000	      -0.2819169
1.1679687500000e+000	        3.100849
1.1718750000000e+000	        6.350795
1.1757812500000e+000	        9.273743
1.1796875000000e+000	         10.5779
1.1835937500000e+000	        10.73677
1.1875000000000e+000	        9.882574
1.1914062500000e+000	         7.72814
1.1953125000000e+000	        4.394452
1.1992187500000e+000	       0.9162966
1.2031250000000e+000	       -2.716307
1.2070312500000e+000	       -5.947823
1.2109375000000e+000	       -8.592338
1.2148437500000e+000	       -10.25109
1.2187500000000e+000	       -10.49707
1.2226562500000e+000	       -9.808606
1.2265625000000e+000	       -7.647591
1.2304687500000e+000	       -4.584944
1.2343750000000e+000	      -0.7686524
1.2382812500000e+000	        2.438166
1.2421875000000e+000	        5.889838
1.2460937500000e+000	        8.470389
1.2500000000000e+000	        10.36917
1.2539062500000e+000	        10.43044
1.2578125000000e+000	        9.864362
1.2617187500000e+000	        7.839745
1.2656250000000e+000	        4.917521
1.2695312500000e+000	        1.236438
1.2734375000000e+000	       -2.039268
1.2773437500000e+000	       -5.336852
1.2812500000000e+000	       -8.104765
1.2851562500000e+000	       -9.651833
1.2890625000000e+000	       -10.28472
1.2929687500000e+000	        -9.48768
1.2968750000000e+000	       -7.843126
1.3007812500000e+000	       -4.698852
1.3046875000000e+000	       -1.342389
1.3085937500000e+000	         2.12859
1.3125000000000e+000	        5.361107
1.3164062500000e+000	        8.119673
1.3203125000000e+000	        9.999831
1.3242187500000e+000	        10.28203
1.3281250000000e+000	        9.831944
1.3320312500000e+000	        7.954723
1.3359375000000e+000	        5.230845
1.3398437500000e+000	        1.604766
1.3437500000000e+000	       -1.508386
1.3476562500000e+000	       -5.076978
1.3515625000000e+000	       -7.482147
1.3554687500000e+000	       -9.427274
1.3593750000000e+000	       -9.965618
1.3632812500000e+000	       -9.598395
1.3671875000000e+000	       -7.982246
1.3710937500000e+000	        -5.17081
1.3750000000000e+000	       -1.715409
1.3789062500000e+000	        1.635532
1.3828125000000e+000	        4.717674
1.3867187500000e+000	        7.565781
1.3906250000000e+000	        9.573436
1.3945312500000e+000	        10.02113
1.3984375000000e+000	        9.580392
1.4023437500000e+000	        8.123808
1.4062500000000e+000	        5.395205
1.4101562500000e+000	        2.038813
1.4140625000000e+000	        -1.20679
1.4179687500000e+000	       -4.373208
1.4218750000000e+000	       -7.182662
1.4257812500000e+000	       -8.986272
1.4296875000000e+000	       -9.751199
1.4335937500000e+000	       -9.339126
1.4375000000000e+000	       -7.980648
1.4414062500000e+000	       -5.342839
1.4453125000000e+000	       -2.055161
1.4492187500000e+000	        1.150529
1.4531250000000e+000	        4.353561
1.4570312500000e+000	        7.078896
1.4609375000000e+000	         9.21224
1.4648437500000e+000	        9.728168
1.4687500000000e+000	        9.553383
1.4726562500000e+000	        8.074016
1.4765625000000e+000	        5.684632
1.4804687500000e+000	        2.359937
1.4843750000000e+000	      -0.7139728
1.4882812500000e+000	       -4.021099
1.4921875000000e+000	       -6.670898
1.4960937500000e+000	       -8.606551
1.5000000000000e+000	       -9.468092
1.5039062500000e+000	       -9.251544
1.5078125000000e+000	       -8.065002
1.5117187500000e+000	       -5.597981
1.5156250000000e+000	       -2.387965
1.5195312500000e+000	       0.8174255
1.5234375000000e+000	        3.860262
1.5273437500000e+000	         6.61964
1.5312500000000e+000	        8.798289
1.5351562500000e+000	        9.557562
1.5390625000000e+000	        9.312088
1.5429687500000e+000	        8.152745
1.5468750000000e+000	        5.837687
1.5507812500000e+000	        2.691152
1.5546875000000e+000	      -0.4359912
1.5585937500000e+000	        -3.47096
1.5625000000000e+000	       -6.321541
1.5664062500000e+000	       -8.213555
1.5703125000000e+000	       -9.220987
1.5742187500000e+000	       -9.081105
1.5781250000000e+000	       -8.056288
1.5820312500000e+000	       -5.802096
1.5859375000000e+000	       -2.688729
1.5898437500000e+000	       0.4038101
1.5937500000000e+000	        3.511019
1.5976562500000e+000	        6.190185
1.6015625000000e+000	        8.466615
1.6054687500000e+000	        9.282655
1.6093750000000e+000	        9.222138
1.6132812500000e+000	        8.135555
1.6171875000000e+000	        6.032823
1.6210937500000e+000	        2.952634
1.6250000000000e+000	     -0.06092738
1.6289062500000e+000	       -3.122824
1.6328125000000e+000	       -5.922913
1.6367187500000e+000	        -7.85383
1.6406250000000e+000	       -8.984888
1.6445312500000e+000	       -8.921414
1.6484375000000e+000	       -8.071089
1.6523437500000e+000	       -5.972649
1.6562500000000e+000	       -2.989837
1.6601562500000e+000	       0.1105923
1.6640625000000e+000	        3.101302
1.6679687500000e+000	        5.789772
1.6718750000000e+000	        8.095658
